TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-22,2026-04-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7294.45,7824.95,7169.80,7586.95,7586.95,7254.80,,7587.00,,,70304,535757993.00,14606,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,724.40,724.60,705.95,714.00,714.00,727.70,,713.50,,,23491,16785123.00,1328,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,784.50,927.70,777.25,899.65,899.65,773.40,,898.70,,,2191562,1927470292.00,47222,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,31.26,34.49,31.26,33.21,33.21,32.17,,33.30,,,57177,1904120.00,460,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,41.61,42.50,40.65,41.33,41.50,42.25,,41.33,,,38805,1612374.00,319,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.68,3.68,3.68,3.68,3.68,3.61,,3.66,,,3400,12512.00,6,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.98,4.40,3.97,4.20,4.20,4.13,,4.20,,,25875,107603.00,80,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.39,8.39,8.04,8.24,8.04,7.90,,8.24,,,3646,29968.00,35,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,114.69,116.56,113.61,116.09,116.09,113.90,,115.98,,,71137,8215248.00,885,F1,1,,,,,
2026-04-22,2026-04-22,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,294.00,298.90,293.00,298.90,298.90,297.55,,296.05,,,54,15898.00,13,F1,1,,,,,
