TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-20,2026-03-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6284.40,6379.00,6278.10,6297.40,6303.65,6196.10,,6297.00,,,10823,68488582.00,3126,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,605.05,614.15,602.20,611.35,612.25,607.90,,611.70,,,24372,14843476.00,996,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,768.75,780.80,755.50,759.95,759.95,769.20,,759.20,,,57227,43952514.00,4306,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,28.02,29.20,28.02,28.94,28.94,28.04,,28.94,,,54822,1579491.00,264,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,37.65,37.95,36.30,36.52,36.31,36.62,,36.52,,,69325,2557903.00,328,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.28,3.33,3.27,3.27,3.27,3.33,,3.28,,,5470,17918.00,16,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.25,4.42,3.93,4.15,4.16,4.23,,4.15,,,11694,46844.00,77,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.87,7.98,7.11,7.90,7.90,7.79,,7.90,,,5689,44756.00,51,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,103.00,105.65,100.50,102.85,102.85,102.00,,103.10,,,75530,7868967.00,767,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,294.20,294.20,290.15,290.15,290.15,290.35,,287.60,,,56,16353.00,19,F1,1,,,,,
2026-03-20,2026-03-20,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6409.25,6409.25,6210.00,6239.00,6210.00,6223.95,,6244.80,,,1366,8598607.00,417,F1,1,,,,,
