TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-19,2026-05-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6458.75,6458.75,6315.85,6326.05,6326.05,6418.05,,6329.00,,,12633,80329838.00,3145,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,686.15,708.75,686.15,700.65,700.65,686.15,,700.50,,,53327,37316618.00,2228,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,806.85,826.15,806.85,817.00,817.00,808.80,,817.20,,,25571,20946634.00,1329,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,31.60,32.34,31.03,31.32,31.28,31.26,,31.27,,,15270,484774.00,210,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,38.69,38.74,37.82,37.87,37.87,38.12,,37.87,,,21870,830845.00,207,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.49,4.49,4.41,4.47,4.47,4.49,,4.42,,,7850,34859.00,10,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.13,4.30,3.90,4.22,4.20,4.05,,4.22,,,18625,77674.00,69,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.85,8.85,8.21,8.49,8.40,8.40,,8.49,,,1212,10045.00,29,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,119.25,122.70,119.25,120.80,120.60,118.95,,120.86,,,34776,4225272.00,720,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,301.40,301.90,296.05,296.05,296.05,295.95,,295.05,,,2499,753042.00,116,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6931.05,7130.35,6916.00,7061.55,7034.50,6876.00,,7050.00,,,1033,7298288.00,476,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,30.29,33.25,30.20,31.23,31.50,29.48,,31.23,,,30047,949049.00,310,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,354.95,356.00,343.45,348.30,348.30,358.05,,347.00,,,37353,13011583.00,1488,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,17.25,18.01,17.25,17.72,17.75,17.28,,17.72,,,465789,8209268.00,1355,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,19786.45,19786.45,19162.40,19207.80,19207.80,19554.85,,19206.00,,,7575,146746413.00,2131,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,929.95,930.00,920.40,923.45,923.45,920.75,,923.55,,,174135,161223427.00,3080,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,541.00,562.85,535.00,550.35,550.35,541.05,,550.45,,,43178,23814371.00,1535,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,583.05,596.60,583.05,590.90,589.65,582.90,,590.60,,,15093,8905581.00,762,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1239.50,1288.90,1234.85,1271.95,1271.00,1241.20,,1271.20,,,7300,9249187.00,696,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3845.05,3945.00,3719.05,3801.00,3771.35,3831.90,,3809.60,,,6782,26052154.00,1288,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,680.00,700.40,679.65,690.80,685.00,679.65,,690.75,,,13986,9657952.00,1368,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1789.45,1833.40,1769.60,1825.85,1825.85,1764.40,,1826.40,,,8080,14592989.00,701,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,428.70,430.85,419.00,423.15,423.15,426.70,,422.95,,,964618,411640188.00,15310,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,5.15,5.15,5.15,5.15,5.15,5.05,,5.15,,,1551,7987.00,5,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,96.17,96.17,93.51,94.03,94.00,94.79,,94.15,,,15823,1493719.00,236,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.74,13.49,12.60,13.13,13.10,12.93,,13.13,,,45915,599701.00,116,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,154.40,160.25,148.00,160.25,160.25,152.65,,161.02,,,6206,975286.00,118,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1650.80,1693.20,1633.20,1681.50,1680.95,1633.35,,1682.00,,,13186,21997494.00,1422,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,12249.00,12300.00,12000.00,12048.00,12048.00,12000.00,,12101.00,,,77,939055.00,52,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,279.90,279.90,260.10,261.75,261.75,263.55,,261.75,,,909,238112.00,43,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,53.82,55.23,53.82,54.45,54.45,53.82,,54.48,,,1922,104925.00,168,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,304.65,306.50,302.00,302.80,303.85,292.10,,301.25,,,119,36263.00,28,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,19.63,20.05,19.51,19.83,19.65,19.50,,19.59,,,6359,125749.00,76,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,178.35,181.90,177.70,181.05,180.90,176.35,,181.06,,,69613,12581748.00,1537,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,457.95,461.35,452.45,453.35,452.50,457.15,,453.25,,,41760,19067645.00,1748,F1,1,,,,,
2026-05-19,2026-05-19,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,342.80,348.00,342.50,344.70,344.00,342.80,,344.65,,,68296,23594752.00,3179,F1,1,,,,,
