TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-15,2026-04-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6880.00,6993.00,6840.50,6867.25,6867.25,6829.75,,6873.00,,,19081,132028159.00,3373,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,636.35,679.00,633.85,659.40,659.40,617.65,,658.85,,,211920,140527155.00,9238,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,758.85,772.50,753.25,756.20,756.20,738.60,,756.40,,,55160,41918703.00,3898,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,28.75,29.50,28.09,29.18,28.89,28.66,,29.18,,,89586,2587652.00,399,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,39.50,43.40,39.50,41.62,41.62,38.61,,41.62,,,157878,6566956.00,764,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.31,3.36,3.31,3.36,3.36,3.30,,3.32,,,28784,96702.00,17,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.08,4.25,4.00,4.16,4.16,4.00,,4.16,,,23977,98607.00,69,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.99,8.20,7.96,8.11,8.11,7.81,,8.11,,,19564,158103.00,54,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,109.75,114.17,109.75,113.55,113.55,107.93,,113.59,,,99774,11220636.00,1299,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,298.00,299.40,297.20,299.40,299.40,296.45,,299.20,,,284,84853.00,42,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6389.00,6580.20,6345.15,6556.25,6543.50,6307.20,,6549.50,,,1843,11938054.00,420,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,36.85,36.85,34.25,34.94,35.13,34.20,,34.94,,,8707,307734.00,81,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,380.75,390.75,380.75,388.30,389.00,380.60,,388.55,,,12809,4942579.00,521,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,18.24,19.19,18.17,18.85,18.85,18.06,,18.85,,,1375348,25682534.00,2651,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,22698.85,23225.45,22250.00,22375.75,22375.75,22065.45,,22377.00,,,8682,197528348.00,2739,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,927.65,927.65,911.35,913.10,912.30,898.50,,913.15,,,213731,196079562.00,6680,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,478.00,488.40,477.95,485.05,485.05,475.55,,485.35,,,43921,21233512.00,1943,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,595.85,604.00,591.00,596.20,596.20,578.95,,596.85,,,19440,11606170.00,890,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1406.30,1430.00,1400.00,1411.20,1411.80,1364.75,,1410.40,,,20346,28762990.00,1376,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3625.00,3679.00,3602.20,3668.45,3674.10,3572.40,,3669.90,,,1126,4109206.00,320,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,740.00,754.40,736.90,741.95,747.20,732.55,,740.50,,,14664,10931471.00,1120,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1664.85,1720.00,1647.95,1709.85,1709.85,1623.85,,1711.40,,,51332,86583137.00,3258,F1,1,,,,,
2026-04-15,2026-04-15,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,447.00,449.05,444.60,447.50,447.50,441.60,,447.65,,,699946,313007354.00,14093,F1,1,,,,,
